Row Labels,"Sum of Cases Registered Under Ipc And Sll (Special & Local Laws) In Which Juveniles Were Apprehended (UOM:Number), Scaling Factor:1","Sum of Cases Registered Under Environment Related Offences (UOM:Number), Scaling Factor:1","Sum of Cases Registered Under Economic Offences (UOM:Number), Scaling Factor:1","Sum of Registered Cyber-Crime Cases (UOM:Number), Scaling Factor:1","Sum of Cases Of Crime Against Foreigners (UOM:Number), Scaling Factor:1","Sum of Cases Registered Under Crime Against Women (Including Both Ipc And Sll (Special & Local Laws Crimes) (UOM:Number), Scaling Factor:1","Sum of Cognizable Crimes Registered Under Ipc (Indian Penal Code) And Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Sum of Cognizable Crimes Registered Under Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Sum of Registered Cases Of Crime Or Atrocities Against Scheduled Tribes (Sts) (UOM:Number), Scaling Factor:1","Sum of Registered Cases Of Crime Or Atrocities Against Scheduled Castes (Scs) (UOM:Number), Scaling Factor:1","Sum of Cases Registered By Railway Protection Force (UOM:Number), Scaling Factor:1","Sum of Value Of Property Recovered (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sum of Value Of Property Stolen (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sum of Cases Reported Under The Prevention Of Corruption Act And Related Sections Of Ipc (UOM:Number), Scaling Factor:1","Sum of Registered Cases Of Offence Against State (UOM:Number), Scaling Factor:1","Sum of Registered Murder Cases (UOM:Number), Scaling Factor:1","Sum of Cognizable Crimes Reported By Ipc (UOM:Number), Scaling Factor:1"
Andaman and Nicobar Islands,53,2,159,13,3,1012,18701,14663,9,0,0,1.4106498,3.0440292,11,11,75,4038
"Calendar Year (Jan - Dec), 2016",12,0,82,3,0,108,2491,1689,6,0,0,0.2844064,0.7629905,3,7,14,802
"Calendar Year (Jan - Dec), 2017",16,2,40,3,0,132,3014,2376,2,0,0,0.5271764,1.171352,7,1,9,638
"Calendar Year (Jan - Dec), 2018",25,0,37,7,3,147,3699,2993,1,0,0,0.599067,1.1096867,1,3,11,706
"Calendar Year (Jan - Dec), 2019",,,,,,135,4034,3470,,,,,,,,13,564
"Calendar Year (Jan - Dec), 2020",,,,,,143,2542,2060,,,,,,,,5,482
"Calendar Year (Jan - Dec), 2021",,,,,,169,1332,946,,,,,,,,16,386
"Calendar Year (Jan - Dec), 2022",,,,,,178,1589,1129,,,,,,,,7,460
Andhra Pradesh,2897,272,18703,2754,11,128799,1223433,211304,1076,6140,220699,152.6166638,352.5137227,514,363,6716,1012129
"Calendar Year (Jan - Dec), 2016",809,46,5931,616,5,16362,129389,22615,405,2335,69689,46.5213801,113.1794964,164,40,1123,106774
"Calendar Year (Jan - Dec), 2017",1122,135,6299,931,3,17909,148002,15666,341,1969,76356,56.262036,127.0091477,199,150,1054,132336
"Calendar Year (Jan - Dec), 2018",966,91,6473,1207,3,16438,144703,18068,330,1836,74654,49.8332477,112.3250786,151,173,935,126635
"Calendar Year (Jan - Dec), 2019",,,,,,17746,145751,26522,,,,,,,,870,119229
"Calendar Year (Jan - Dec), 2020",,,,,,17089,238105,49108,,,,,,,,853,188997
"Calendar Year (Jan - Dec), 2021",,,,,,17752,222199,42588,,,,,,,,956,179611
"Calendar Year (Jan - Dec), 2022",,,,,,25503,195284,36737,,,,,,,,925,158547
Arunachal Pradesh,136,5,404,12,0,2371,19443,1963,1,2,1,6.4496908,44.7263428,43,35,397,17480
"Calendar Year (Jan - Dec), 2016",57,1,167,4,0,367,2700,166,1,0,1,2.2214152,12.9495,14,10,46,2534
"Calendar Year (Jan - Dec), 2017",48,2,115,1,0,337,2746,181,0,2,0,1.9912572,20.4031238,11,16,79,2565
"Calendar Year (Jan - Dec), 2018",31,2,122,7,0,368,2817,204,0,0,0,2.2370184,11.373719,18,9,62,2613
"Calendar Year (Jan - Dec), 2019",,,,,,317,2877,287,,,,,,,,60,2590
"Calendar Year (Jan - Dec), 2020",,,,,,281,2503,259,,,,,,,,45,2244
"Calendar Year (Jan - Dec), 2021",,,,,,366,3039,413,,,,,,,,49,2626
"Calendar Year (Jan - Dec), 2022",,,,,,335,2761,453,,,,,,,,56,2308
Assam,778,348,22708,3838,9,171250,794106,61032,72,22,21734,58.512881,312.6772063,75,1244,8164,733074
"Calendar Year (Jan - Dec), 2016",436,149,6519,696,0,20869,107014,4764,1,4,6241,19.5053646,94.1684732,23,343,1149,102250
"Calendar Year (Jan - Dec), 2017",192,105,7363,1120,2,23082,109952,5628,65,10,6795,14.8700988,108.3246274,27,323,1144,104324
"Calendar Year (Jan - Dec), 2018",150,94,8826,2022,7,27728,120572,8340,6,8,8698,24.1374176,110.1841057,25,578,1241,112232
"Calendar Year (Jan - Dec), 2019",,,,,,30025,132783,9271,,,,,,,,1235,123512
"Calendar Year (Jan - Dec), 2020",,,,,,26352,121609,10051,,,,,,,,1131,111558
"Calendar Year (Jan - Dec), 2021",,,,,,29046,133239,13356,,,,,,,,1192,119883
"Calendar Year (Jan - Dec), 2022",,,,,,14148,68937,9622,,,,,,,,1072,59315
Bihar,4148,244,25904,1116,19,117149,1845105,513740,169,19509,145228,86.4802123,377.7814645,361,415,20335,1331365
"Calendar Year (Jan - Dec), 2016",2335,41,8628,309,10,13400,189696,25533,25,5701,43772,19.8449101,100.2107867,164,207,2581,164163
"Calendar Year (Jan - Dec), 2017",1142,51,8067,433,9,14711,236055,55482,80,6747,60056,44.4156112,158.3614969,128,146,2803,180573
"Calendar Year (Jan - Dec), 2018",671,152,9209,374,0,16920,262815,65904,64,7061,41400,22.219691,119.2091809,69,62,2934,196911
"Calendar Year (Jan - Dec), 2019",,,,,,18587,269109,71174,,,,,,,,3138,197935
"Calendar Year (Jan - Dec), 2020",,,,,,15359,257512,62814,,,,,,,,3150,194698
"Calendar Year (Jan - Dec), 2021",,,,,,17950,282083,96077,,,,,,,,2799,186006
"Calendar Year (Jan - Dec), 2022",,,,,,20222,347835,136756,,,,,,,,2930,211079
Chandigarh,392,7,538,88,7,2793,30110,10058,0,3,3992,9.0216079,26.0977537,20,6,154,20052
"Calendar Year (Jan - Dec), 2016",96,3,210,26,4,414,4256,1260,0,1,1424,2.7808064,7.9927954,15,2,26,2996
"Calendar Year (Jan - Dec), 2017",159,4,123,32,1,453,5462,2222,0,1,1444,2.7264362,8.2050288,2,3,25,3240
"Calendar Year (Jan - Dec), 2018",137,0,205,30,2,442,5967,2895,0,1,1124,3.5143653,9.8999295,3,1,20,3072
"Calendar Year (Jan - Dec), 2019",,,,,,515,4518,1699,,,,,,,,26,2819
"Calendar Year (Jan - Dec), 2020",,,,,,301,3254,671,,,,,,,,22,2583
"Calendar Year (Jan - Dec), 2021",,,,,,343,2995,594,,,,,,,,17,2401
"Calendar Year (Jan - Dec), 2022",,,,,,325,3658,717,,,,,,,,18,2941
Chhattisgarh,5816,134,4872,400,1,53641,704373,259872,1189,790,70315,47.5081944,146.3535178,115,41,6698,444501
"Calendar Year (Jan - Dec), 2016",1953,15,1282,90,0,5947,84192,29163,402,243,23576,14.495642,43.0565367,61,9,957,55029
"Calendar Year (Jan - Dec), 2017",1952,65,1719,171,1,7996,90516,32035,399,283,22752,15.3216177,50.2654788,27,14,919,58481
"Calendar Year (Jan - Dec), 2018",1911,54,1871,139,0,8587,98233,38055,388,264,23987,17.6909347,53.0315023,27,18,917,60178
"Calendar Year (Jan - Dec), 2019",,,,,,7689,96561,35305,,,,,,,,913,61256
"Calendar Year (Jan - Dec), 2020",,,,,,7385,103173,37957,,,,,,,,972,65216
"Calendar Year (Jan - Dec), 2021",,,,,,7344,110633,40114,,,,,,,,1007,70519
"Calendar Year (Jan - Dec), 2022",,,,,,8693,121065,47243,,,,,,,,1013,73822
Delhi,8191,56,16545,449,512,80643,1933240,101643,6,138,73472,296.4038666,5049.166515,31,44,3489,1831597
