state,seat_category,number_of_seats,nominations_filed_male,nominations_filed_female,nominations_filed_third_gender,nominations_filed_total,nominations_rejected_male,nominations_rejected_female,nominations_rejected_third_gender,nominations_rejected_total,nominations_withdrawn_male,nominations_withdrawn_female,nomination_withdrawn_third_gender,nominations_withdrawn_total,contesting_candidates_male,contesting_candidates_female,contesting_candidates_third_gender,contesting_candidates_total,deposit_forfeited_male ,deposit_forfeited_female,deposit_forfeited_third_gender,deposit_forfeited_total 
Andhra Pradesh,GEN,20,329,52,0,381,67,25,0,92,17,6,0,23,245,21,0,266,207,17,0,224
Andhra Pradesh,SC,4,49,7,0,56,8,3,0,11,1,1,0,2,40,3,0,43,33,1,0,34
Andhra Pradesh,ST,1,9,4,0,13,2,1,0,3,0,0,0,0,7,3,0,10,6,2,0,8
Andhra Pradesh,TOTAL,25,387,63,0,450,77,29,0,106,18,7,0,25,292,27,0,319,246,20,0,266
Arunachal Pradesh,GEN,2,11,1,0,12,0,0,0,0,0,0,0,0,11,1,0,12,8,1,0,9
Arunachal Pradesh,TOTAL,2,11,1,0,12,0,0,0,0,0,0,0,0,11,1,0,12,8,1,0,9
Assam,GEN,11,115,15,0,130,4,1,0,5,7,1,0,8,104,13,0,117,83,10,0,93
Assam,SC,1,19,0,0,19,0,0,0,0,5,0,0,5,14,0,0,14,12,0,0,12
Assam,ST,2,17,1,0,18,4,0,0,4,0,0,0,0,13,1,0,14,9,0,0,9
Assam,TOTAL,14,151,16,0,167,8,1,0,9,12,1,0,13,131,14,0,145,104,10,0,114
Bihar,GEN,34,732,68,0,800,209,17,0,226,16,2,0,18,507,49,0,556,447,41,0,488
Bihar,SC,6,93,9,0,102,27,2,0,29,3,0,0,3,63,7,0,70,52,6,0,58
Bihar,TOTAL,40,825,77,0,902,236,19,0,255,19,2,0,21,570,56,0,626,499,47,0,546
Goa,GEN,2,14,2,0,16,4,0,0,4,0,0,0,0,10,2,0,12,6,2,0,8
Goa,TOTAL,2,14,2,0,16,4,0,0,4,0,0,0,0,10,2,0,12,6,2,0,8
Gujarat,GEN,20,453,35,1,489,91,7,0,98,75,4,0,79,287,24,1,312,253,18,1,272
Gujarat,SC,2,27,4,0,31,7,1,0,8,0,0,0,0,20,3,0,23,16,3,0,19
Gujarat,ST,4,47,2,0,49,10,1,0,11,2,0,0,2,35,1,0,36,28,0,0,28
Gujarat,TOTAL,26,527,41,1,569,108,9,0,117,77,4,0,81,342,28,1,371,297,21,1,319
Haryana,GEN,8,228,30,0,258,43,17,0,60,9,4,0,13,176,9,0,185,161,8,0,169
